adm0_name,iso3,X,Y,published,source,airline,info,optional1,optional2,optional3,ObjectId
Japan,JPN,139.27161,36.655454,21.04.2020,https://www.routesonline.com/news/38/airlineroute/290885/ana-further-reduces-key-domestic-routes-at-tokyo-haneda-22apr20-28apr20/,.ANA,ANA further reduces key Domestic routes at Tokyo Haneda 22APR20 – 28APR20,,,,24
Japan,JPN,139.27161,36.655454,10.04.2020,https://www.routesonline.com/news/38/airlineroute/290734/airasia-japan-april-2020-operations-as-of-09apr20/,AirAsia Japan,AirAsia Japan April 2020 operations as of 09APR20,,,,25
Japan,JPN,139.27161,36.655454,27.04.2020,https://www.routesonline.com/news/38/airlineroute/290957/fuji-dream-airlines-suspends-scheduled-operation-28apr20-17may20/,Fuji Dream Airlines,Fuji Dream Airlines suspends scheduled operation 28APR20 – 17MAY20,,,,26
Jarvis Island,UMI,-159.99739,-0.373312,,,,,,,,27
Jersey,JEY,-2.132466,49.224292,,,,,,,,28
Johnston Atoll,UMI,-169.53344,16.729127,,,,,,,,29
Jordan,JOR,37.129891,30.653807,26.03.2020,https://www.routesonline.com/news/38/airlineroute/290508/royal-jordanian-extends-passenger-service-suspension-to-13apr20/?highlight=Royal%20Jordanian,Royal Jordanian,Royal Jordanian extends passenger service suspension to 13APR20,,,,30
Juan de Nova Island,xFR,42.725159,-17.055056,,,,,,,,31
Kazakhstan,KAZ,66.653592,48.019634,28.04.2020,https://www.routesonline.com/news/38/airlineroute/290987/air-astana-resumes-limited-operation-from-01may20/,.Air Astana,Air Astana resumes limited operation from 01MAY20,,,,32
Kenya,KEN,37.861019,0.53472,07.04.2020,https://www.standardmedia.co.ke/article/2001367181/jambojet-suspends-local-flights,Jambojet,Jambojet will temporarily suspend all its operations until 30 April because of COVID-19,,,,33
Kenya,KEN,37.861019,0.53472,10.04.2020,https://www.routesonline.com/news/38/airlineroute/290736/kenya-airways-may-2020-intercontinental-operations-as-of-0500gmt-10apr20/,.Kenya Airways,Kenya Airways May 2020 Intercontinental operations as of 10APR20,,,,34
Kenya,KEN,37.861019,0.53472,02.04.2020,https://allafrica.com/stories/202004020253.html,Kenya Airways,Kenya Airways Stops Passenger Flights for the First Time in Four Decades,,,,35
Kingman Reef,UMI,-162.5614,6.478546,,,,,,,,36
Kiribati,KIR,-157.36432,1.85776,,,,,,,,37
Kosovo,RKS,20.966191,42.467542,,,,,,,,38
Kuril Islands,"RUS, JPN",147.877949,45.076156,,,,,,,,39
Kuwait,KWT,47.492598,29.53972,19.04.2020,https://www.routesonline.com/news/38/airlineroute/290853/kuwait-airways-june-oct-2020-intercontinental-operations-as-of-0815gmt-19apr20/,.Kuwait Airways,Kuwait Airways June – Oct 2020 Intercontinental operations as of 19APR20,,,,40
Kyrgyzstan,KGZ,74.523246,41.462046,,,,,,,,41
Lao People's Democratic Republic,LAO,101.990197,20.274828,,,,,,,,42
Latvia,LVA,26.424619,56.641966,21.04.2020,https://www.routesonline.com/news/38/airlineroute/290899/airbaltic-s20-operations-as-of-0245gmt-22apr20/,.airBaltic,airBaltic S20 operations as of 22APR20,,,,43
Latvia,LVA,26.424619,56.641966,03.04.2020,http://www.leta.lv/eng/home/important/61513530-132B-452E-9370-C0D6C2FC3E60/,airBaltic,AirBaltic to further reduce its flights from 15 April until 31 October as COVID-19 crisis continues,,,,44
